X,Y
0,487.99
19.67,487.25
36.06,487.17
59.01,485.38
65.57,485.79
81.96,484.79
88.52,483.48
95.08,482.61
101.64,482.21
121.31,479.71
131.14,478.02
137.7,475.58
150.81,471.27
183.6,468.9
196.71,468.76
203.27,468.28
213.11,468.99
219.66,468.1
229.5,467.35
239.33,465.61
252.45,465.21
259.01,464.29
262.28,463.3
265.56,460.84
278.68,449.1
288.51,444.25
295.07,443.3
321.3,443.46
337.69,445.05
344.25,445.26
347.53,444.66
367.2,443.75
373.76,443.21
380.31,441.83
386.87,440.91
393.43,440.47
403.26,439.31
416.38,436.4
426.21,432.14
429.49,431.16
436.05,427.28
452.44,425.95
459,426.39
462.28,427.54
468.83,431.94
481.95,438.55
491.78,440.2
514.73,441.35
524.57,441.46
534.4,440.66
547.52,438.76
550.8,438.01
560.63,438.08
567.19,439.18
573.75,442.11
583.58,445.58
586.86,446.31
593.42,445.48
599.98,442.93
606.53,439.93
616.37,438.69
619.65,438.95
629.48,438.5
668.83,438.66
695.05,438.12
721.28,437.88
734.4,438.18
740.95,438.66
747.51,439.67
757.35,441.75
763.9,442.39
773.74,442.08
780.3,441.02
786.85,439.33
799.97,438.76
806.53,439.01
826.2,438.65
845.87,439.4
865.54,439.33
872.1,439.56
904.88,439.82
911.44,440.2
927.83,439.9
944.23,440.39
970.45,440.58
996.68,440.31
1003.24,440.12
1013.08,440.42
1019.63,440.31
1045.86,440.54
1062.25,440.36
1075.37,440.54
1098.32,440.45
1108.15,440.69
1134.38,440.54
1140.94,440.14
1150.78,440.24
1170.45,440.06
1183.56,440.3
1196.67,440.05
1216.35,440.49
1239.3,440.36
1245.85,440
1255.69,439.96
1258.97,440.26
1272.08,440.43
1291.75,439.88
1308.15,440.14
1350.77,439.72
1367.16,439.67
1380.27,439.81
1386.83,439.58
1393.39,439.84
1419.62,439.59
1432.73,439.84
1449.12,439.85
1455.68,439.67
1472.07,439.71
1481.91,439.36
1495.02,439.59
1524.53,439.43
1540.92,439.69
1554.04,440.18
1580.26,439.61
1593.38,440.13
1616.33,439.79
1622.89,439.3
1632.72,439.41
1642.56,439.89
1655.67,440.09
1672.06,439.89
1678.62,440.03
1695.01,439.76
1721.24,439.76
1754.03,439.37
1773.7,439.46
1783.53,439.23
1793.37,439.28
1806.48,438.98
1813.04,439.16
1835.99,438.79
1858.94,439.05
1885.17,438.74
1904.84,438.8
1914.68,439.23
1917.95,439.02
1931.07,439.29
1960.58,439.33
1967.13,439.11
1980.25,439.26
1990.08,438.89
1996.64,439.2
2013.03,438.75
2029.43,439.18
2045.82,439.17
2058.93,438.85
2095,438.92
2114.67,438.67
2124.5,438.85
2134.34,438.62
2154.01,439.04
2167.12,438.77
2176.96,439.02
2196.63,438.61
2219.58,438.71
2229.42,438.58
2242.53,438.96
2258.92,438.56
2272.04,438.6
2291.71,437.86
2311.38,437.69
2337.61,437.07
2360.56,436.64
2380.23,436.69
2406.46,436.18
2419.57,436.35
2452.36,436.05
2478.59,436.11
2491.7,435.85
2517.93,436.27
2540.88,435.75
2547.43,435.91
2563.83,435.83
2580.22,435.54
2586.78,435.81
2606.45,435.68
2632.68,435.75
2662.18,435.98
2675.3,435.52
2694.97,435.39
2714.64,435.56
2721.2,435.3
2753.98,435.46
2767.1,434.5
2776.93,435.05
2793.32,435.38
2803.16,435.01
2826.11,435.26
2832.67,434.71
2839.22,434.67
2845.78,435.31
2852.34,435.17
2868.73,435.45
2872.01,435.22
2885.12,435.61
2908.07,435.3
2921.19,435.27
2931.02,435.83
2937.58,435.67
2953.97,436.14
2967.09,435.92
2980.2,436.2
2990.04,435.47
2999.87,435.66
3009.71,434.93
3026.1,435.42
3042.49,435.31
3049.05,434.88
3055.61,434.88
3075.28,435.36
3101.51,434.98
3111.34,435.25
3121.18,435
3131.01,435.31
3140.85,435.03
3157.24,434.94
3163.8,435.21
3173.63,434.95
3186.75,435.44
3196.58,434.89
3219.53,436.1
3249.04,436.42
3265.43,436.25
3291.66,435.16
3308.05,435.42
3324.45,435.41
3347.4,435.04
3357.23,434.56
3367.07,434.76
3376.9,435.25
3383.46,435.21
3393.3,435.71
3403.13,435.84
3422.8,435.72
3439.19,435.86
3449.03,435.49
3465.42,436.03
3475.26,436.13
3498.21,435.5
3501.49,434.6
3508.04,434.15
3521.16,435.55
3547.39,435.52
3560.48,435.77
3570.29,435.72
3583.36,436.46
3606.25,436.44
3616.05,436.11
3642.21,436.19
3668.36,436.63
3678.16,436.37
3701.05,436.65
3714.12,436.36
3740.27,436
3743.54,435.51
3756.62,436.35
3776.23,436.57
3789.31,436.3
3818.73,436.52
3835.07,437.03
3848.15,437.06
3857.96,437.54
3867.76,437.56
3893.92,438.07
3906.99,437.63
3916.8,437.67
3923.34,437.41
3939.68,437.37
3949.49,437.89
3962.56,438.3
3975.64,438.36
3998.52,437.13
4008.33,436.86
4031.21,436.58
4054.1,436.79
4063.9,436.6
4080.25,436.81
4086.79,436.55
4099.86,436.84
4112.94,436.87
4126.01,437.51
4161.97,437.81
4171.78,437.68
4184.85,438.65
4194.66,439.74
4217.54,439.17
4233.89,437.99
4250.23,437.82
4266.58,438.37
4276.39,438.45
4292.73,438.07
4309.07,437.9
4328.69,437.95
4348.3,438.35
4354.84,438.19
4367.92,438.98
4380.99,439.16
4426.74,439.15
4456.15,439.6
4472.49,438.9
4488.83,438.72
4508.43,438.89
4524.77,438.66
4547.64,438.82
4554.18,438.7
4570.52,438.91
4580.32,438.72
4603.19,438.57
4629.33,439.1
4642.4,438.74
4652.21,438.7
4665.28,438.96
4678.35,439.95
4691.42,440.62
4714.29,440.64
4724.09,440.23
4737.16,439.03
4766.57,439.06
4776.37,438.92
4786.18,438.48
4795.98,438.33
4815.59,438.67
4831.92,438.32
4851.53,438.16
4867.87,438.73
4884.2,438.53
4894.01,438.64
4916.88,438.58
4920.15,438.74
4946.29,438.24
4956.09,438.6
4972.43,438.8
4992.03,439.78
5018.18,440.06
5037.78,440.05
5054.13,440.23
5067.23,440.17
5093.44,440.55
5116.37,440.47
5126.2,440.77
5162.23,440.3
5181.89,440.77
5191.72,441.74
5204.82,441.82
5217.93,441.47
5224.48,440.88
5247.41,439.75
5250.69,439.8
5263.79,441.07
5270.34,441.17
5306.38,441.29
5319.48,441.08
5335.86,441.04
5355.52,441.26
5371.9,440.85
5401.38,439.61
5421.04,439.07
5443.97,438.96
5470.18,439.16
5483.28,438.69
5502.94,439.09
5512.77,438.76
5529.15,438.95
5532.42,438.7
5555.35,437.9
5558.63,438.17
5568.46,437.24
5584.84,436.22
5611.04,432.42
5624.15,430.74
5630.7,430.43
5647.08,430.83
5656.91,431.93
5670.01,432.01
5686.39,432.75
5706.05,433.34
5715.88,433.4
5725.7,433.08
5732.26,432.35
5738.81,431.03
5748.64,429.61
5758.46,428.98
5778.12,427.97
5787.95,427.04
5801.05,426.19
5817.43,426.05
5823.98,426.29
5830.54,425.97
5846.92,426
5860.02,427.33
5873.12,427.78
5886.23,427.21
5899.33,427.79
5925.54,427.69
5935.37,429.07
5948.47,429.26
5964.85,429.8
5987.78,429.72
5997.61,429.39
6004.16,429.96
6013.99,430.08
6020.54,429.79
6027.09,428.61
6040.2,429.2
6046.75,428.89
6059.85,429.44
6072.96,430.86
6082.79,431.6
6086.06,431.46
6102.44,431.66
6112.27,431.98
6122.1,431.84
6135.2,432.99
6145.03,432.47
6154.86,432.95
6177.79,434.77
6190.89,435.59
6197.44,435.03
6207.27,433.2
6213.82,429.86
6223.65,425.43
6226.93,423.49
6236.76,420.26
6246.58,417.47
6256.41,415.72
6259.69,414.66
6266.24,411.5
6282.8,406
6294.7,404.3
6302.1,405.1
6310.5,404.2
6323.6,404.2
6337.8,403.8
6342.9,403.9
6366.4,401.5
6383.8,399.4
6393.3,398.8
6401.6,397.9
6419.1,398.6
6426.2,399.9
6430.2,399.9
6440.8,398.6
6448.5,400.3
6450.8,399.9
6455.7,401.3
6461.8,403.9
6464,403.4
6472.3,404.1
6479.3,404
6480.5,404.5
6489.1,404.5
6508.1,405.3
6534.87,408.23
6544.7,410.21
6547.64,411.74
6557.8,415.98
6561.08,417.81
6574.18,426.73
6577.46,430.21
6584.01,435.73
6590.56,443.24
6593.84,443.53
6597.12,445.82
6603.67,451.4
6610.22,455.14
6613.5,455.7
6629.88,461.45
6633.15,462.21
6649.53,467.82
6669.19,472.04
6715.05,479.55
6721.6,479.9
6731.43,481.53
6744.53,483.27
6770.74,485.81
6780.57,485.98
