Time,Flow,Stage
2015-06-01 00:00:00,439000.0,26.79
2015-06-01 01:00:00,458410.91636341414,26.78
2015-06-01 02:00:00,455090.5578970418,26.75
2015-06-01 03:00:00,461385.0691215273,26.78
2015-06-01 04:00:00,457131.8485879089,26.76
2015-06-01 05:00:00,460185.6955373183,26.77
2015-06-01 06:00:00,453394.21134993015,26.71
2015-06-01 07:00:00,418416.72740188765,26.64
2015-06-01 08:00:00,455531.8081772378,26.58
2015-06-01 09:00:00,463863.2219957727,26.66
2015-06-01 10:00:00,438129.2110381055,26.49
2015-06-01 11:00:00,466193.73713732255,26.56
2015-06-01 12:00:00,453331.6082472813,26.55
2015-06-01 13:00:00,451211.4317852741,26.49
2015-06-01 14:00:00,454451.2433377534,26.47
2015-06-01 15:00:00,453891.60781616357,26.45
2015-06-01 16:00:00,443288.11869102233,26.33
2015-06-01 17:00:00,448409.80139612703,26.26
2015-06-01 18:00:00,443322.7553927043,26.17
2015-06-01 19:00:00,453023.3870267174,26.19
2015-06-01 20:00:00,435064.49271867843,26.02
2015-06-01 21:00:00,435142.46210147225,25.85
2015-06-01 22:00:00,452819.38856030063,25.92
2015-06-01 23:00:00,449098.037240783,25.95
2015-06-02 00:00:00,436583.1556087534,25.83
2015-06-02 01:00:00,451608.4101811071,25.87
2015-06-02 02:00:00,441324.72401907906,25.83
2015-06-02 03:00:00,440676.12106498616,25.75
2015-06-02 04:00:00,441470.0319287116,25.71
2015-06-02 05:00:00,431342.25498483813,25.57
2015-06-02 06:00:00,438323.55181504093,25.51
2015-06-02 07:00:00,437706.9903472343,25.48
2015-06-02 08:00:00,427988.37546970585,25.34
2015-06-02 09:00:00,440071.93411621207,25.34
2015-06-02 10:00:00,435912.7619580626,25.31
2015-06-02 11:00:00,436042.01603898004,25.28
2015-06-02 12:00:00,432525.0118864067,25.21
2015-06-02 13:00:00,435222.50656286406,25.19
2015-06-02 14:00:00,427089.35057470103,25.08
2015-06-02 15:00:00,431137.5178132891,25.02
2015-06-02 16:00:00,428601.8873686524,24.95
2015-06-02 17:00:00,431477.944298724,24.93
2015-06-02 19:00:00,409476.41060867114,24.66
2015-06-02 20:00:00,440528.2644734628,24.75
2015-06-02 21:00:00,424645.4914986675,24.72
2015-06-02 22:00:00,424225.1184000718,24.64
2015-06-02 23:00:00,428300.0620670617,24.63
2015-06-03 00:00:00,427834.4992528879,24.62
2015-06-03 01:00:00,416913.5008340507,24.49
2015-06-03 02:00:00,426587.35973501106,24.47
2015-06-03 03:00:00,426285.99721847964,24.48
2015-06-03 04:00:00,420542.8954425213,24.4
2015-06-03 05:00:00,420308.98174826556,24.34
2015-06-03 06:00:00,418371.5903204606,24.26
2015-06-03 07:00:00,424561.29200033756,24.27
2015-06-03 08:00:00,419443.9052562697,24.23
2015-06-03 09:00:00,413689.3803427714,24.11
2015-06-03 10:00:00,417171.00063318975,24.05
2015-06-03 11:00:00,416741.8991265957,24.01
2015-06-03 12:00:00,412732.8295329464,23.93
2015-06-03 13:00:00,413462.6369043695,23.86
2015-06-03 14:00:00,418342.90132147225,23.87
2015-06-03 15:00:00,404057.99293853604,23.71
2015-06-03 16:00:00,418332.5955442696,23.73
2015-06-03 17:00:00,406389.45033564506,23.64
2015-06-03 18:00:00,409842.1497219843,23.57
2015-06-03 19:00:00,412432.4219886193,23.56
2015-06-03 20:00:00,401698.5177931349,23.43
2015-06-03 21:00:00,411074.0343639933,23.41
2015-06-03 22:00:00,413784.4574748844,23.45
2015-06-03 23:00:00,400303.7741128229,23.32
2015-06-04 00:00:00,411735.7472636015,23.33
2015-06-04 01:00:00,402668.535256689,23.25
2015-06-04 02:00:00,409932.8579675884,23.25
2015-06-04 03:00:00,408238.57885431556,23.25
2015-06-04 04:00:00,403131.8291851084,23.19
2015-06-04 05:00:00,406859.4294881708,23.17
2015-06-04 06:00:00,402410.8471041516,23.11
2015-06-04 07:00:00,409054.32899191935,23.14
2015-06-04 08:00:00,403774.51237891644,23.1
2015-06-04 09:00:00,401294.76280989713,23.04
2015-06-04 10:00:00,408621.7095433012,23.07
2015-06-04 11:00:00,401210.4396141749,23.02
2015-06-04 12:00:00,396509.80757950974,22.9
2015-06-04 13:00:00,400760.7008304318,22.86
2015-06-04 14:00:00,404481.213146399,22.89
2015-06-04 15:00:00,406874.07826313254,22.94
2015-06-04 16:00:00,398964.57806669216,22.88
2015-06-04 17:00:00,391993.95600049675,22.74
2015-06-04 18:00:00,407775.9113868587,22.8
2015-06-04 19:00:00,396772.8398243943,22.75
2015-06-04 20:00:00,400664.2364054431,22.74
2015-06-04 21:00:00,396484.79174705927,22.69
2015-06-04 22:00:00,403153.2917137084,22.71
2015-06-04 23:00:00,397351.7308034759,22.68
2015-06-05 00:00:00,400268.57881406945,22.67
2015-06-05 01:00:00,400543.2549130876,22.68
2015-06-05 02:00:00,394970.99068964197,22.61
2015-06-05 03:00:00,395368.92577033606,22.55
2015-06-05 04:00:00,396628.5192667176,22.54
2015-06-05 05:00:00,396213.02106209344,22.51
2015-06-05 06:00:00,398720.2997974876,22.52
2015-06-05 07:00:00,397256.65796275233,22.51
2015-06-05 08:00:00,403484.08249047643,22.58
2015-06-05 09:00:00,397602.17667550896,22.57
2015-06-05 10:00:00,408790.9083480958,22.69
2015-06-05 11:00:00,398541.646489306,22.68
2015-06-05 12:00:00,401317.0707947461,22.68
2015-06-05 13:00:00,399976.4308602222,22.68
2015-06-05 14:00:00,398643.4319633502,22.65
2015-06-05 15:00:00,400985.74104334007,22.66
2015-06-05 16:00:00,401760.29884018045,22.69
2015-06-05 17:00:00,411850.8638146512,22.83
2015-06-05 18:00:00,395676.80094966735,22.75
2015-06-05 19:00:00,395529.43916117057,22.66
2015-06-05 20:00:00,404413.11846233957,22.71
2015-06-05 21:00:00,408161.0620051102,22.81
2015-06-05 22:00:00,394483.0216101518,22.72
2015-06-05 23:00:00,403595.6653960554,22.74
2015-06-06 00:00:00,407031.1641685944,22.82
2015-06-06 01:00:00,405586.22497950244,22.86
2015-06-06 02:00:00,400870.9985389131,22.84
2015-06-06 03:00:00,405384.8972981354,22.86
2015-06-06 04:00:00,408495.15548392263,22.94
2015-06-06 05:00:00,407081.47717580403,22.98
2015-06-06 06:00:00,411846.8019395207,23.06
2015-06-06 07:00:00,409094.6877961231,23.1
2015-06-06 08:00:00,417068.74510414136,23.23
2015-06-06 09:00:00,410384.84811774717,23.26
2015-06-06 10:00:00,418593.8736153793,23.37
2015-06-06 11:00:00,413685.1621077286,23.42
2015-06-06 12:00:00,424186.00257193594,23.57
2015-06-06 13:00:00,419883.73612144083,23.66
2015-06-06 14:00:00,419484.7562582462,23.71
2015-06-06 15:00:00,420981.71626054484,23.78
2015-06-06 16:00:00,419205.00163914805,23.81
2015-06-06 17:00:00,425077.09332789615,23.9
2015-06-06 18:00:00,402413.40687923785,23.72
2015-06-06 19:00:00,422343.8772568339,23.77
2015-06-06 20:00:00,435822.3721789983,24.04
2015-06-06 21:00:00,443009.3990805198,24.34
2015-06-06 22:00:00,431380.5868078476,24.43
2015-06-06 23:00:00,443390.9909943348,24.61
2015-06-07 00:00:00,433555.4949271212,24.69
2015-06-07 01:00:00,433858.9777935649,24.72
2015-06-07 02:00:00,440175.4428554556,24.84
2015-06-07 03:00:00,452596.88150013285,25.09
2015-06-07 04:00:00,446299.57258026977,25.23
2015-06-07 05:00:00,437680.18797843653,25.22
2015-06-07 06:00:00,448849.1762036747,25.34
2015-06-07 07:00:00,445590.343676323,25.42
2015-06-07 08:00:00,436266.76108212845,25.37
2015-06-07 09:00:00,458532.84417858534,25.56
2015-06-07 10:00:00,433097.3733768864,25.49
2015-06-07 11:00:00,462671.1037019344,25.69
2015-06-07 12:00:00,448463.4467014906,25.77
2015-06-07 13:00:00,451576.5112511656,25.82
2015-06-07 14:00:00,442414.21330465714,25.79
2015-06-07 15:00:00,460340.480335582,25.94
2015-06-07 16:00:00,453454.98828952585,26.02
2015-06-07 17:00:00,458970.9544150272,26.12
2015-06-07 18:00:00,460144.87952409644,26.24
2015-06-07 19:00:00,437372.7700346155,26.08
2015-06-07 20:00:00,464720.6011140721,26.2
2015-06-07 21:00:00,446037.96209832927,26.18
2015-06-07 22:00:00,463273.18295711034,26.29
2015-06-07 23:00:00,440518.9224331166,26.17
2015-06-08 00:00:00,472143.7443426385,26.36
2015-06-08 01:00:00,456257.12635284994,26.43
2015-06-08 02:00:00,469969.8202145963,26.57
2015-06-08 03:00:00,450343.57721234125,26.51
2015-06-08 04:00:00,469164.2146040097,26.63
2015-06-08 05:00:00,482001.43786785344,26.87
2015-06-08 06:00:00,463126.62498035515,26.91
2015-06-08 07:00:00,478268.3864510045,27.07
2015-06-08 08:00:00,458263.2311374612,27.04
2015-06-08 09:00:00,477006.52455936756,27.15
2015-06-08 10:00:00,468057.81640664185,27.21
2015-06-08 11:00:00,477985.6516800187,27.34
2015-06-08 12:00:00,475316.4950173774,27.44
2015-06-08 13:00:00,473529.8156268547,27.49
2015-06-08 14:00:00,469389.1018157016,27.49
2015-06-08 15:00:00,478691.21505254175,27.58
2015-06-08 16:00:00,482074.4943695382,27.7
2015-06-08 18:00:00,474400.0956664792,27.73
2015-06-08 19:00:00,482769.5191070037,27.82
2015-06-08 20:00:00,474039.0876269073,27.83
2015-06-08 21:00:00,480139.28942042834,27.88
2015-06-08 22:00:00,482202.4397047945,27.95
2015-06-08 23:00:00,487777.3897659449,28.08
2015-06-09 00:00:00,482160.4770322004,28.13
2015-06-09 01:00:00,484830.0914054593,28.19
2015-06-09 02:00:00,493053.603724451,28.33
2015-06-09 03:00:00,484962.2200733456,28.37
2015-06-09 04:00:00,492492.666109259,28.46
2015-06-09 06:00:00,498155.98304442124,28.62
2015-06-09 07:00:00,490941.066313697,28.68
2015-06-09 08:00:00,501187.2684795921,28.81
2015-06-09 09:00:00,487954.6950011057,28.81
2015-06-09 10:00:00,499914.499254724,28.9
2015-06-09 11:00:00,495392.70118478005,28.97
2015-06-09 12:00:00,493149.782311514,28.99
2015-06-09 13:00:00,499100.0712185391,29.05
2015-06-09 14:00:00,492157.8008362486,29.05
2015-06-09 15:00:00,504899.2641607834,29.17
2015-06-09 16:00:00,501462.08129346854,29.25
2015-06-09 17:00:00,498205.12208291487,29.28
2015-06-09 18:00:00,499542.89892263483,29.3
2015-06-09 21:00:00,517181.72290275776,29.52
2015-06-09 22:00:00,499050.6727517369,29.54
2015-06-09 23:00:00,504620.60330258554,29.56
2015-06-10 00:00:00,509453.84585324867,29.66
2015-06-10 01:00:00,496794.0851053832,29.61
2015-06-10 03:00:00,517407.59947750036,29.76
2015-06-10 04:00:00,512152.7607621791,29.88
2015-06-10 05:00:00,510118.01249709754,29.92
2015-06-10 06:00:00,509942.34460678964,29.95
2015-06-10 07:00:00,503474.45949090197,29.92
2015-06-10 08:00:00,515367.2514152156,30.0
2015-06-10 09:00:00,508524.6607470299,30.03
2015-06-10 10:00:00,512794.06471165334,30.07
2015-06-10 11:00:00,508157.521793017,30.07
2015-06-10 12:00:00,509835.1010159602,30.08
2015-06-10 13:00:00,507752.8417483616,30.07
2015-06-10 14:00:00,514441.21501943853,30.13
2015-06-10 15:00:00,508707.0953812948,30.13
2015-06-10 16:00:00,503764.12992526207,30.06
2015-06-10 17:00:00,505576.1668341447,30.03
2015-06-10 18:00:00,513187.5117890728,30.09
2015-06-10 19:00:00,511316.05281474703,30.12
2015-06-10 20:00:00,496295.2875116781,29.99
2015-06-10 21:00:00,517278.7143511537,30.07
2015-06-10 22:00:00,504964.1416412537,30.05
2015-06-10 23:00:00,501424.3485282771,29.97
2015-06-11 00:00:00,508086.7095965142,29.98
2015-06-11 01:00:00,506948.10776121716,29.99
2015-06-11 02:00:00,500854.4408659512,29.92
2015-06-11 03:00:00,506150.77893940744,29.91
2015-06-11 04:00:00,502661.68876428663,29.89
2015-06-11 05:00:00,500152.9532400628,29.83
2015-06-11 06:00:00,498532.2763910794,29.76
2015-06-11 07:00:00,503918.1027528384,29.76
2015-06-11 08:00:00,489918.9760399578,29.63
2015-06-11 09:00:00,502839.25866825605,29.63
2015-06-11 10:00:00,495743.1543497417,29.59
2015-06-11 11:00:00,494986.62028921116,29.52
2015-06-11 12:00:00,495563.3268796795,29.48
2015-06-11 13:00:00,488189.99657677417,29.37
2015-06-11 14:00:00,498119.9927929486,29.37
2015-06-11 15:00:00,486191.0169544403,29.27
2015-06-11 16:00:00,492613.02700339217,29.23
2015-06-11 17:00:00,484280.6086046885,29.13
2015-06-11 18:00:00,498331.3452583146,29.16
2015-06-11 19:00:00,479152.8619752831,29.03
2015-06-11 20:00:00,488967.5041353677,28.98
2015-06-11 21:00:00,480245.14599328995,28.88
2015-06-11 22:00:00,486318.6864267497,28.84
2015-06-11 23:00:00,473399.5584427899,28.69
2015-06-12 00:00:00,481070.91804797377,28.61
2015-06-12 01:00:00,480914.02009475377,28.57
2015-06-12 02:00:00,476011.5465318461,28.48
2015-06-12 03:00:00,478049.53426549106,28.41
2015-06-12 04:00:00,469223.00768258865,28.28
2015-06-12 05:00:00,471085.76135678164,28.17
2015-06-12 06:00:00,477889.2687668868,28.15
2015-06-12 07:00:00,471289.0365567302,28.09
2015-06-12 08:00:00,463038.69033501635,27.93
2015-06-12 09:00:00,469633.0618756714,27.85
2015-06-12 10:00:00,465130.95297652436,27.76
2015-06-12 11:00:00,464771.29693792685,27.67
2015-06-12 12:00:00,460993.69208905136,27.55
2015-06-12 13:00:00,458095.3373129582,27.43
2015-06-12 14:00:00,463853.1249026752,27.38
2015-06-12 15:00:00,452560.0507229641,27.23
2015-06-12 16:00:00,455533.88173629565,27.11
2015-06-12 17:00:00,465118.2865746216,27.13
2015-06-12 18:00:00,451675.4132171284,27.0
2015-06-12 19:00:00,449932.32080348977,26.86
2015-06-12 20:00:00,457034.5809948936,26.83
2015-06-12 21:00:00,448239.1434908935,26.71
2015-06-12 22:00:00,418057.1001862874,26.64
2015-06-12 23:00:00,455040.9746248818,26.58
2015-06-13 00:00:00,441947.0188585851,26.45
2015-06-13 01:00:00,452075.2465407988,26.4
2015-06-13 02:00:00,444973.90149843803,26.31
2015-06-13 03:00:00,444572.7252382505,26.21
2015-06-13 04:00:00,441870.55195638083,26.1
2015-06-13 05:00:00,447221.747639935,26.07
2015-06-13 06:00:00,440486.39990328444,25.98
2015-06-13 07:00:00,443047.88555890997,25.91
2015-06-13 08:00:00,442668.69508690934,25.86
2015-06-13 09:00:00,438810.02151412104,25.78
2015-06-13 10:00:00,444577.5351587526,25.76
2015-06-13 11:00:00,435017.5163217095,25.65
2015-06-13 12:00:00,440330.05422928627,25.6
2015-06-13 13:00:00,430712.29556684237,25.48
2015-06-13 14:00:00,442835.5877620872,25.49
2015-06-13 15:00:00,430223.21276252536,25.38
2015-06-13 16:00:00,439799.8713033845,25.36
2015-06-13 18:00:00,434785.80748264404,25.32
2015-06-13 19:00:00,436124.0188333606,25.29
2015-06-13 20:00:00,436317.93907418376,25.26
2015-06-13 21:00:00,433742.23414865014,25.21
2015-06-13 22:00:00,434019.3388270188,25.17
2015-06-13 23:00:00,438108.2175771049,25.19
2015-06-14 00:00:00,431433.20463074424,25.13
2015-06-14 01:00:00,436866.988728769,25.13
2015-06-14 02:00:00,429954.5530435042,25.06
2015-06-14 03:00:00,440044.4298424365,25.1
2015-06-14 04:00:00,436911.6003254011,25.13
2015-06-14 05:00:00,435872.353500829,25.12
2015-06-14 06:00:00,440108.774314728,25.16
2015-06-14 07:00:00,437667.73749321955,25.18
2015-06-14 08:00:00,441585.64282848145,25.23
2015-06-14 09:00:00,440583.3636027153,25.26
2015-06-14 10:00:00,443560.88453267317,25.32
2015-06-14 11:00:00,446572.29761255416,25.4
2015-06-14 12:00:00,454189.1937223507,25.56
2015-06-14 13:00:00,448003.3724961334,25.64
2015-06-14 15:00:00,462148.0036789361,25.84
2015-06-14 16:00:00,451845.53136460803,25.91
2015-06-14 17:00:00,467661.06926378177,26.12
2015-06-14 19:00:00,466531.5945334205,26.32
2015-06-14 20:00:00,466522.7166173614,26.46
2015-06-14 21:00:00,466465.76189437177,26.59
2015-06-14 22:00:00,476245.11593688827,26.71
2015-06-14 23:00:00,465878.60447635734,26.8
2015-06-15 00:00:00,466879.0173298824,26.87
2015-06-15 01:00:00,479159.3446812018,27.07
2015-06-15 02:00:00,466698.67070222733,27.12
2015-06-15 03:00:00,479236.26004293276,27.26
2015-06-15 04:00:00,475442.8196591722,27.38
2015-06-15 05:00:00,481809.0838438146,27.52
2015-06-15 06:00:00,478657.16243477067,27.62
2015-06-15 07:00:00,485459.86457366456,27.76
2015-06-15 08:00:00,478186.4719846706,27.82
2015-06-15 09:00:00,493220.00734072365,28.0
2015-06-15 10:00:00,485022.43984901765,28.1
2015-06-15 11:00:00,491200.8366439258,28.23
2015-06-15 12:00:00,489707.5006664392,28.34
2015-06-15 13:00:00,486674.70107340056,28.39
2015-06-15 15:00:00,507089.15153657063,28.64
2015-06-15 16:00:00,481962.73555524455,28.61
2015-06-15 17:00:00,508378.91402354086,28.8
2015-06-15 18:00:00,487455.7925795114,28.82
2015-06-15 20:00:00,510220.7770709314,29.0
2015-06-15 21:00:00,494968.8648080867,29.06
2015-06-15 22:00:00,510808.95511279587,29.23
2015-06-15 23:00:00,497000.9908860393,29.26
2015-06-16 00:00:00,503690.7819457592,29.33
2015-06-16 01:00:00,509165.8954193698,29.46
2015-06-16 02:00:00,511813.50445960707,29.6
2015-06-16 03:00:00,501013.26614896295,29.6
2015-06-16 04:00:00,517758.6778704873,29.76
2015-06-16 05:00:00,505965.4840544148,29.8
2015-06-16 06:00:00,516963.8404948075,29.92
2015-06-16 07:00:00,510391.02128875913,29.98
2015-06-16 09:00:00,521651.41234981414,30.12
2015-06-16 10:00:00,526616.6667945306,30.31
2015-06-16 11:00:00,516976.19962498354,30.36
2015-06-16 12:00:00,519533.00503735396,30.41
2015-06-16 14:00:00,533560.0475503764,30.61
2015-06-16 15:00:00,520893.8519764335,30.66
2015-06-16 16:00:00,521991.5217893876,30.69
2015-06-16 17:00:00,522607.05804821616,30.73
2015-06-16 18:00:00,534011.4583507456,30.88
2015-06-16 19:00:00,520510.0432638456,30.88
2015-06-16 20:00:00,537643.9674954971,31.02
2015-06-16 21:00:00,525898.9049935838,31.05
2015-06-16 22:00:00,539221.7533599875,31.19
2015-06-16 23:00:00,530151.9891759224,31.24
2015-06-17 00:00:00,545914.5876592639,31.4
2015-06-17 01:00:00,539590.1067198568,31.51
2015-06-17 02:00:00,538311.2240184157,31.56
2015-06-17 03:00:00,544982.2360678946,31.68
2015-06-17 04:00:00,539325.6128564125,31.73
2015-06-17 05:00:00,551726.9722098529,31.88
2015-06-17 06:00:00,544960.107162813,31.95
2015-06-17 07:00:00,547385.4479457611,32.02
2015-06-17 08:00:00,545064.0325477236,32.06
2015-06-17 09:00:00,544237.4881510354,32.09
2015-06-17 10:00:00,544904.7571905893,32.1
2015-06-17 11:00:00,549095.2126880905,32.17
2015-06-17 12:00:00,533570.3480036638,32.08
2015-06-17 13:00:00,558465.8669983317,32.22
2015-06-17 14:00:00,550775.8859493358,32.31
2015-06-17 15:00:00,561553.1102916282,32.45
2015-06-17 16:00:00,542320.2696823686,32.4
2015-06-17 17:00:00,557339.352900063,32.48
2015-06-17 18:00:00,559956.5092995217,32.6
2015-06-17 19:00:00,556635.8437043611,32.66
2015-06-17 20:00:00,549231.9448223354,32.64
2015-06-17 21:00:00,551965.259275944,32.64
2015-06-17 22:00:00,565553.991267543,32.78
2015-06-17 23:00:00,562263.2218939614,32.88
2015-06-18 00:00:00,558891.2843956188,32.9
2015-06-18 01:00:00,558823.9336597996,32.93
2015-06-18 02:00:00,554042.1046301102,32.9
2015-06-18 03:00:00,569400.245259282,33.03
2015-06-18 04:00:00,546693.9924425167,32.94
2015-06-18 05:00:00,558047.2583671769,32.93
2015-06-18 06:00:00,578558.7143866642,33.15
2015-06-18 07:00:00,574680.4431708888,33.32
2015-06-18 08:00:00,559058.7438447839,33.28
2015-06-18 09:00:00,559422.1355801728,33.24
2015-06-18 10:00:00,571102.5858768343,33.33
2015-06-18 11:00:00,557301.6898618253,33.29
2015-06-18 13:00:00,589562.7057182427,33.53
2015-06-18 14:00:00,567191.0581532891,33.57
2015-06-18 17:00:00,592699.0199048764,33.79
2015-06-18 18:00:00,576034.0904948161,33.86
2015-06-18 20:00:00,576748.3727835092,33.89
2015-06-18 21:00:00,580896.2147538018,33.96
2015-06-18 22:00:00,581286.8619717822,34.04
2015-06-18 23:00:00,580419.3509439968,34.09
2015-06-19 00:00:00,586019.3500450433,34.18
2015-06-19 01:00:00,580997.1452931293,34.21
2015-06-19 03:00:00,592123.3972984677,34.34
2015-06-19 04:00:00,584374.7259999597,34.39
2015-06-19 05:00:00,596767.6328240711,34.52
2015-06-19 07:00:00,599648.8074596416,34.69
2015-06-19 08:00:00,595348.1834277265,34.77
2015-06-19 09:00:00,600250.2531128793,34.88
2015-06-19 10:00:00,604007.7912149939,35.01
2015-06-19 11:00:00,605138.9238967284,35.14
2015-06-19 12:00:00,615740.957136302,35.34
2015-06-19 13:00:00,611256.3253616196,35.47
2015-06-19 14:00:00,600407.0979565645,35.46
2015-06-19 15:00:00,612181.2016345207,35.55
2015-06-19 16:00:00,607202.2950961213,35.61
2015-06-19 17:00:00,609387.7338429284,35.66
2015-06-19 18:00:00,614877.3271034278,35.76
