Stage,n
26.79,0.035
26.78,0.035
26.75,0.035
26.78,0.035
26.76,0.035
26.77,0.035
26.71,0.035
26.64,0.035
26.58,0.035
26.66,0.035
26.49,0.035
26.56,0.035
26.55,0.035
26.49,0.035
26.47,0.035
26.45,0.035
26.33,0.035
26.26,0.035
26.17,0.035
26.19,0.035
26.02,0.035
25.85,0.035
25.92,0.035
25.95,0.035
25.83,0.035
25.87,0.035
25.83,0.035
25.75,0.035
25.71,0.035
25.57,0.035
25.51,0.035
25.48,0.035
25.34,0.035
25.34,0.035
25.31,0.035
25.28,0.035
25.21,0.035
25.19,0.035
25.08,0.035
25.02,0.035
24.95,0.035
24.93,0.035
24.66,0.035
24.75,0.035
24.72,0.035
24.64,0.035
24.63,0.035
24.62,0.035
24.49,0.035
24.47,0.035
24.48,0.035
24.4,0.035
24.34,0.035
24.26,0.035
24.27,0.035
24.23,0.035
24.11,0.035
24.05,0.035
24.01,0.035
23.93,0.035
23.86,0.035
23.87,0.035
23.71,0.035
23.73,0.035
23.64,0.035
23.57,0.035
23.56,0.035
23.43,0.035
23.41,0.035
23.45,0.035
23.32,0.035
23.33,0.035
23.25,0.035
23.25,0.035
23.25,0.035
23.19,0.035
23.17,0.035
23.11,0.035
23.14,0.035
23.1,0.035
23.04,0.035
23.07,0.035
23.02,0.035
22.9,0.035
22.86,0.035
22.89,0.035
22.94,0.035
22.88,0.035
22.74,0.035
22.8,0.035
22.75,0.035
22.74,0.035
22.69,0.035
22.71,0.035
22.68,0.035
22.67,0.035
22.68,0.035
22.61,0.035
22.55,0.035
22.54,0.035
22.51,0.035
22.52,0.035
22.51,0.035
22.58,0.035
22.57,0.035
22.69,0.035
22.68,0.035
22.68,0.035
22.68,0.035
22.65,0.035
22.66,0.035
22.69,0.035
22.83,0.035
22.75,0.035
22.66,0.035
22.71,0.035
22.81,0.035
22.72,0.035
22.74,0.035
22.82,0.035
22.86,0.035
22.84,0.035
22.86,0.035
22.94,0.035
22.98,0.035
23.06,0.035
23.1,0.035
23.23,0.035
23.26,0.035
23.37,0.035
23.42,0.035
23.57,0.035
23.66,0.035
23.71,0.035
23.78,0.035
23.81,0.035
23.9,0.035
23.72,0.035
23.77,0.035
24.04,0.035
24.34,0.035
24.43,0.035
24.61,0.035
24.69,0.035
24.72,0.035
24.84,0.035
25.09,0.035
25.23,0.035
25.22,0.035
25.34,0.035
25.42,0.035
25.37,0.035
25.56,0.035
25.49,0.035
25.69,0.035
25.77,0.035
25.82,0.035
25.79,0.035
25.94,0.035
26.02,0.035
26.12,0.035
26.24,0.035
26.08,0.035
26.2,0.035
26.18,0.035
26.29,0.035
26.17,0.035
26.36,0.035
26.43,0.035
26.57,0.035
26.51,0.035
26.63,0.035
26.87,0.035
26.91,0.035
27.07,0.035
27.04,0.035
27.15,0.035
27.21,0.035
27.34,0.035
27.44,0.035
27.49,0.035
27.49,0.035
27.58,0.035
27.7,0.035
27.73,0.035
27.82,0.035
27.83,0.035
27.88,0.035
27.95,0.035
28.08,0.035
28.13,0.035
28.19,0.035
28.33,0.035
28.37,0.035
28.46,0.035
28.62,0.035
28.68,0.035
28.81,0.035
28.81,0.035
28.9,0.035
28.97,0.035
28.99,0.035
29.05,0.035
29.05,0.035
29.17,0.035
29.25,0.035
29.28,0.035
29.3,0.035
29.52,0.035
29.54,0.035
29.56,0.035
29.66,0.035
29.61,0.035
29.76,0.035
29.88,0.035
29.92,0.035
29.95,0.035
29.92,0.035
30,0.035
30.03,0.035
30.07,0.035
30.07,0.035
30.08,0.035
30.07,0.035
30.13,0.035
30.13,0.035
30.06,0.035
30.03,0.035
30.09,0.035
30.12,0.035
29.99,0.035
30.07,0.035
30.05,0.035
29.97,0.035
29.98,0.035
29.99,0.035
29.92,0.035
29.91,0.035
29.89,0.035
29.83,0.035
29.76,0.035
29.76,0.035
29.63,0.035
29.63,0.035
29.59,0.035
29.52,0.035
29.48,0.035
29.37,0.035
29.37,0.035
29.27,0.035
29.23,0.035
29.13,0.035
29.16,0.035
29.03,0.035
28.98,0.035
28.88,0.035
28.84,0.035
28.69,0.035
28.61,0.035
28.57,0.035
28.48,0.035
28.41,0.035
28.28,0.035
28.17,0.035
28.15,0.035
28.09,0.035
27.93,0.035
27.85,0.035
27.76,0.035
27.67,0.035
27.55,0.035
27.43,0.035
27.38,0.035
27.23,0.035
27.11,0.035
27.13,0.035
27,0.035
26.86,0.035
26.83,0.035
26.71,0.035
26.64,0.035
26.58,0.035
26.45,0.035
26.4,0.035
26.31,0.035
26.21,0.035
26.1,0.035
26.07,0.035
25.98,0.035
25.91,0.035
25.86,0.035
25.78,0.035
25.76,0.035
25.65,0.035
25.6,0.035
25.48,0.035
25.49,0.035
25.38,0.035
25.36,0.035
25.32,0.035
25.29,0.035
25.26,0.035
25.21,0.035
25.17,0.035
25.19,0.035
25.13,0.035
25.13,0.035
25.06,0.035
25.1,0.035
25.13,0.035
25.12,0.035
25.16,0.035
25.18,0.035
25.23,0.035
25.26,0.035
25.32,0.035
25.4,0.035
25.56,0.035
25.64,0.035
25.84,0.035
25.91,0.035
26.12,0.035
26.32,0.035
26.46,0.035
26.59,0.035
26.71,0.035
26.8,0.035
26.87,0.035
27.07,0.035
27.12,0.035
27.26,0.035
27.38,0.035
27.52,0.035
27.62,0.035
27.76,0.035
27.82,0.035
28,0.035
28.1,0.035
28.23,0.035
28.34,0.035
28.39,0.035
28.64,0.035
28.61,0.035
28.8,0.035
28.82,0.035
29,0.035
29.06,0.035
29.23,0.035
29.26,0.035
29.33,0.035
29.46,0.035
29.6,0.035
29.6,0.035
29.76,0.035
29.8,0.035
29.92,0.035
29.98,0.035
30.12,0.035
30.31,0.035
30.36,0.035
30.41,0.035
30.61,0.035
30.66,0.035
30.69,0.035
30.73,0.035
30.88,0.035
30.88,0.035
31.02,0.035
31.05,0.035
31.19,0.035
31.24,0.035
31.4,0.035
31.51,0.035
31.56,0.035
31.68,0.035
31.73,0.035
31.88,0.035
31.95,0.035
32.02,0.035
32.06,0.035
32.09,0.035
32.1,0.035
32.17,0.035
32.08,0.035
32.22,0.035
32.31,0.035
32.45,0.035
32.4,0.035
32.48,0.035
32.6,0.035
32.66,0.035
32.64,0.035
32.64,0.035
32.78,0.035
32.88,0.035
32.9,0.033
32.93,0.033
32.9,0.033
33.03,0.033
32.94,0.033
32.93,0.033
33.15,0.033
33.32,0.033
33.28,0.033
33.24,0.033
33.33,0.033
33.29,0.033
33.53,0.033
33.57,0.033
33.79,0.033
33.86,0.033
33.89,0.033
33.96,0.033
34.04,0.033
34.09,0.033
34.18,0.033
34.21,0.033
34.34,0.033
34.39,0.033
34.52,0.033
34.69,0.033
34.77,0.033
34.88,0.033
35.01,0.033
35.14,0.033
35.34,0.033
35.47,0.033
35.46,0.033
35.55,0.033
35.61,0.033
35.66,0.033
35.76,0.033
35.74,0.033
35.89,0.033
35.88,0.033
35.86,0.033
36.1,0.033
36.14,0.033
36.1,0.033
36.21,0.033
36.28,0.033
36.24,0.033
36.3,0.033
36.33,0.033
36.42,0.033
36.38,0.033
36.48,0.033
36.48,0.033
36.62,0.033
36.58,0.033
36.64,0.033
36.58,0.033
36.63,0.033
36.66,0.033
36.63,0.033
36.58,0.033
36.58,0.033
36.84,0.033
36.78,0.033
36.8,0.033
36.81,0.033
36.87,0.033
36.78,0.033
36.73,0.033
36.67,0.033
36.68,0.033
36.94,0.033
36.87,0.033
36.91,0.033
36.79,0.033
36.85,0.033
36.82,0.033
36.85,0.033
36.7,0.033
36.66,0.033
36.72,0.033
36.76,0.033
36.69,0.033
36.67,0.033
36.6,0.033
36.6,0.033
36.71,0.033
36.64,0.033
36.47,0.033
36.54,0.033
36.53,0.033
36.45,0.033
36.45,0.033
36.5,0.033
36.41,0.033
36.4,0.033
36.35,0.033
36.39,0.033
36.39,0.033
36.37,0.033
36.33,0.033
36.26,0.033
36.39,0.033
36.25,0.033
36.23,0.033
36.37,0.033
36.35,0.033
36.26,0.033
36.37,0.033
36.37,0.033
36.4,0.033
36.41,0.033
36.4,0.033
36.6,0.033
36.55,0.033
36.48,0.033
36.56,0.033
36.5,0.033
36.58,0.033
36.54,0.033
36.67,0.033
36.58,0.033
36.57,0.033
36.64,0.033
36.61,0.033
36.6,0.033
36.66,0.033
36.65,0.033
36.64,0.033
36.65,0.033
36.61,0.033
36.65,0.033
36.67,0.033
36.73,0.033
36.66,0.033
36.6,0.033
36.7,0.033
36.6,0.033
36.61,0.033
36.58,0.033
36.51,0.033
36.51,0.033
36.4,0.033
36.52,0.033
36.43,0.033
36.41,0.033
36.37,0.033
36.31,0.033
36.24,0.033
36.34,0.033
36.27,0.033
36.23,0.033
36.18,0.033
36.21,0.033
36.18,0.033
36.14,0.033
36.14,0.033
36.08,0.033
36.02,0.033
36.09,0.033
35.94,0.033
35.96,0.033
35.92,0.033
36.02,0.033
35.99,0.033
35.91,0.033
36,0.033
36.08,0.033
36.11,0.033
36.02,0.033
36.07,0.033
36.01,0.033
35.99,0.033
36,0.033
36.04,0.033
36.12,0.033
36.18,0.033
36.16,0.033
36.11,0.033
36.04,0.033
36.08,0.033
36.01,0.033
36.07,0.033
36,0.033
36.02,0.033
35.96,0.033
35.94,0.033
35.94,0.033
35.91,0.033
35.89,0.033
35.88,0.033
35.87,0.033
35.81,0.033
35.85,0.033
35.79,0.033
35.83,0.033
35.89,0.033
35.84,0.033
35.86,0.033
35.83,0.033
35.91,0.033
36,0.033
36.05,0.033
36.05,0.033
36.1,0.033
36.12,0.033
36.12,0.033
36.28,0.033
36.29,0.033
36.34,0.033
36.32,0.033
36.36,0.033
36.4,0.033
36.52,0.033
36.5,0.033
36.63,0.033
36.67,0.033
36.69,0.033
36.7,0.033
36.82,0.033
36.72,0.033
36.74,0.033
36.92,0.033
36.83,0.033
36.88,0.033
36.95,0.033
37.01,0.033
37.17,0.033
37.11,0.033
37.26,0.033
37.23,0.033
37.25,0.033
37.39,0.033
37.56,0.033
37.51,0.033
37.46,0.033
37.48,0.033
37.49,0.033
37.53,0.033
37.5,0.033
37.75,0.033
37.65,0.033
37.59,0.033
37.51,0.033
37.56,0.033
37.66,0.033
37.84,0.033
37.82,0.033
37.72,0.033
37.73,0.033
37.74,0.033
38.01,0.033
37.94,0.033
37.94,0.033
38.39,0.033
38.3,0.033
38.29,0.033
38.37,0.033
38.39,0.033
38.32,0.033
38.45,0.033
38.37,0.033
38.41,0.033
38.42,0.033
38.41,0.033
38.34,0.033
38.28,0.033
38.31,0.033
38.34,0.033
38.11,0.033
38.34,0.033
38.16,0.033
38.21,0.033
38,0.033
38.01,0.033
37.94,0.033
37.97,0.033
37.94,0.033
37.9,0.033
37.84,0.033
37.77,0.033
37.78,0.033
37.79,0.033
37.83,0.033
37.71,0.033
37.74,0.033
37.61,0.033
37.58,0.033
37.59,0.033
37.59,0.033
37.53,0.033
37.56,0.033
37.52,0.033
37.52,0.033
37.46,0.033
37.46,0.033
37.44,0.033
37.41,0.033
37.37,0.033
37.42,0.033
37.35,0.033
37.37,0.033
37.33,0.033
37.36,0.033
37.31,0.033
37.32,0.033
37.25,0.033
37.32,0.033
37.23,0.033
37.25,0.033
37.22,0.033
37.24,0.033
37.25,0.033
37.22,0.033
37.22,0.033
37.22,0.033
37.21,0.033
37.2,0.033
37.23,0.033
37.21,0.033
37.15,0.033
37.2,0.033
37.13,0.033
37.18,0.033
37.17,0.033
37.12,0.033
37.16,0.033
37.14,0.033
37.09,0.033
37.12,0.033
37.1,0.033
37.07,0.033
37.06,0.033
37.09,0.033
36.99,0.033
37.03,0.033
37.04,0.033
37.01,0.033
37.03,0.033
36.97,0.033
36.97,0.033
36.94,0.033
36.93,0.033
36.95,0.033
36.94,0.033
36.87,0.033
36.86,0.033
36.8,0.033
36.8,0.033
36.78,0.033
36.76,0.033
36.72,0.033
36.69,0.033
36.65,0.033
36.6,0.033
36.58,0.033
36.55,0.033
36.53,0.033
36.46,0.033
36.49,0.033
36.44,0.033
36.41,0.033
36.37,0.033
36.33,0.033
36.27,0.033
36.32,0.033
36.21,0.033
36.22,0.033
36.18,0.033
36.17,0.033
36.14,0.033
36.09,0.033
36.03,0.033
35.93,0.033
35.94,0.033
35.91,0.033
35.84,0.033
35.72,0.033
35.7,0.033
35.68,0.033
35.64,0.033
35.57,0.033
35.46,0.033
35.47,0.033
35.42,0.033
35.35,0.033
35.32,0.033
35.21,0.033
35.14,0.033
35.08,0.033
35.04,0.033
34.96,0.033
34.91,0.033
34.85,0.033
34.78,0.033
34.8,0.033
34.69,0.033
34.62,0.033
34.56,0.033
34.48,0.033
34.41,0.033
34.37,0.033
34.26,0.033
34.18,0.033
34.12,0.033
33.98,0.035
33.91,0.035
33.88,0.035
33.77,0.035
33.7,0.035
33.63,0.035
33.57,0.035
33.49,0.035
33.37,0.035
33.35,0.035
33.22,0.035
33.21,0.035
33.14,0.035
33.02,0.035
32.98,0.035
32.9,0.035
32.82,0.035
32.72,0.035
32.65,0.035
32.59,0.035
32.51,0.035
32.42,0.035
32.34,0.035
32.3,0.035
32.21,0.035
32.14,0.035
32.05,0.035
31.99,0.035
31.9,0.035
31.88,0.035
31.78,0.035
31.73,0.035
31.66,0.035
31.58,0.035
31.57,0.035
31.58,0.035
31.58,0.035
31.56,0.035
31.48,0.035
31.44,0.035
31.41,0.035
31.32,0.035
31.33,0.035
31.32,0.035
31.28,0.035
31.29,0.035
31.3,0.035
31.29,0.035
31.31,0.035
31.39,0.035
31.4,0.035
31.43,0.035
31.47,0.035
31.54,0.035
31.57,0.035
31.63,0.035
31.67,0.035
31.74,0.035
31.83,0.035
31.89,0.035
31.95,0.035
32.03,0.035
32.09,0.035
32.2,0.035
32.26,0.035
32.36,0.035
32.49,0.035
32.56,0.035
32.66,0.035
32.75,0.035
32.8,0.035
